WATERBODY_CODE,Waterbody_LID,LOCNAME,TWS_code,neglondec,latdec,SA,LO
48139000,16-2773-53446,Whitefish Lake,02AA,-90.00083333,48.22111111,3015,4
48139031,15-6843-53443,Sunbow Lake,05PA,-90.52333333,48.22444444,543.9,-9999
48148033,17-5314-53425,Watabeag Lake,04MB,-80.57666667,48.23694444,2267.1,-9999
48149014,15-7053-53459,Sandstone Lake,02AA,-90.24027778,48.23166667,935.2,4
48149108,15-6386-53456,Blackstone Lake,05PA,-91.14111111,48.24388889,-9999,-9999
48149128,15-6126-53450,Kahshahpiwi Lake,05PA,-91.48138889,48.24444444,-9999,-9999
48158133,17-4591-53367,Kenogamissi Lake,04LA,-81.54972222,48.18388889,2608.9,-9999
48159148,15-5888-53453,Argo Lake,05PA,-91.80416667,48.25694444,-9999,-9999
48168503,16-6450-53469,West Kabenung Lake,02BD,-85.04888889,48.26027778,1556.6,5
48169039,15-6723-53466,Northern Light Lake,05PA,-90.67583333,48.24444444,6869.8,-9999
48169120,15-6228-53450,Agnes Lake,05PA,-91.34555556,48.24805556,-9999,-9999
48178408,16-7139-53538,Dog Lake,02BD,-84.07055556,48.305,5184,6
48179110,15-6348-53492,McEwen Lake,05PA,-91.18222222,48.28972222,-9999,-9999
48179133,15-6075-53504,Burt Lake,05PA,-91.55,48.29694444,-9999,-9999
48189055,15-6508-53496,Saganagons Lake,05PA,-90.92305556,48.305,-9999,-9999
48199023,15-6958-53562,Weikabinonaw Lake,05PA,-90.37638889,48.325,1255.92,-9999
48228144,17-4464-53580,Jowsey Lake,04LA,-81.72361111,48.37472222,-9999,-9999
48229032,15-6832-53585,Titmarsh Lake,05PA,-90.53,48.35527778,959.5,-9999
48229140,15-5975-53595,Poohbah Lake,05PA,-91.68305556,48.38,-9999,-9999
48238340,17-3006-53592,Missinaibi Lake,04LH,-83.69138889,48.35666667,7706.9,-9999
48238848,16-3666-53602,Marie Louise Lake,02AC,-88.80138889,48.38305556,776.56,3
48239217,15-5527-53591,Thompson Lake,05PA,-92.28805556,48.385,-9999,-9999
48259016,15-7020-53669,Blunder Lake,02AB,-90.26944444,48.42444444,126.45,4
48269010,15-7091-53688,Batwing Lake,02AB,-90.17361111,48.44222222,624.2,3
48279032,15-6828-53703,Nelson Lake,05PA,-90.52888889,48.46222222,707.9,-9999
48288058,17-5018-53686,Night Hawk Lake,04MD,-80.98027778,48.45694444,9832.2,-9999
48288233,17-3844-53694,Sweetwater (He_3) Lake,04LC,-82.56444444,48.46944444,66.9,-9999
48289153,15-5813-53685,Your Lake,05PA,-91.88694444,48.47111111,-9999,-9999
48289219,15-5503-53695,Captain Tom Lake,05PA,-92.31916667,48.47833333,-9999,-9999
48308257,17-3563-53717,Kapuskasing Lake,04LE,-82.94444444,48.48361111,1870.7,-9999
48329142,15-5958-53772,Jean Lake,05PA,-91.70305556,48.54277778,-9999,-9999
48329206,15-5662-53769,Beaverhouse Lake,05PA,-92.10277778,48.54333333,-9999,-9999
48348138,17-4533-53793,Kamiskotia Lake,04LB,-81.63194444,48.56972222,496.05,-9999
48349026,15-6904-53837,Greenwater Lake,02AB,-90.43,48.57444444,3060.3,4
48359033,15-6979-53586,Jacob Lake,05PA,-90.32638889,48.3525,168.7,-9999
48359038,15-6747-53842,Burchell Lake,05PA,-90.62694444,48.58833333,1026.6,-9999
48359159,15-5747-53824,Cirrus Lake,05PA,-91.98777778,48.5925,-9999,-9999
48369010,15-7089-53866,Lower Shebandowan Lake,02AB,-90.175,48.6125,2309.35,6
48379119,15-6146-53867,Pickerel Lake,05PA,-91.44472222,48.62472222,-9999,-9999
