Waterbody_LID,Lake_Name,Cycle,AreaCalcm2,Perim__m2,Strahler,Shreve,MinElev,MaxElev,MeanElev,SDElev,GDD8110,TertiaryWS,QuaternWS
17-4591-53367,Kenogamissi L.,1,24857240.83,129213.96,8,"14,699",300.3965149,318.9633179,310.9762014,2.664508604,1487.942764,04LA,4LA-01
17-4608-51161,Walker L.,1,3508773.55,19997.87,6,261,214.3966675,224.5909576,216.4579384,1.226098553,1708.358124,02CH,2CH-05
17-4614-51736,Green L.,1,445406.25,5715.94,1,1,421.3714294,432.4506531,425.0284832,1.695520176,1706,02CF,2CF-16
17-4620-52125,Onaping L.,1,66258119.32,547088.69,6,394,400.397644,415.4134827,403.8209264,1.137539806,1659.306667,02CF,2CF-16
17-4665-48812,Silver L.,1,595835.28,4671.06,3,7,279.0210876,279.0210876,275.815523,0.524734386,2018.246826,02FC,2FC-06
17-4689-49939,Miller L.,1,3174097,12063.36,3,7,202.9165192,202.9165192,198.4723328,0.964591128,1798.304626,02FA,2FA-07
17-4702-52245,Kalaco L.,1,889313.6,10076.57,4,98,391.8775024,399.0223999,394.0705955,1.080505716,1641.664917,02DA,2DA-02
17-4713-52126,Scotia L.,1,7622347.11,53922.74,4,68,395,407.8135681,397.0352719,1.520856674,1662.769479,02DA,2DA-02
17-4728-52266,Oshawong L.,1,1085163.45,8820.93,4,101,390.3827209,397.8473511,393.3032385,1.422695404,1639.638306,02DA,2DA-02
17-4736-50056,Gillies L.,1,2173328.72,11728.14,3,5,224.9201202,224.9201202,221.1961571,0.676861616,1782.198608,02FA,2FA-04
17-4743-51217,"Panache, L.",1,80369251.41,391620.67,6,245,218.8809052,235.0948486,222.6777366,1.217870287,1708.270919,02CH,2CH-05
17-4759-52050,Rome L.,1,2305704.91,24608.96,3,15,420.3400574,429.6474304,422.9687443,0.953643904,1675.254598,02DA,2DA-02
17-4773-53267,Muskasenda L.,1,4819225.86,30249.51,4,21,329.7608643,338.1159058,332.0400782,0.990617535,1511.920939,04LA,4LA-02
17-4810-51976,Venetian L.,1,10334235.24,103024.38,4,33,414.6542969,421.3782654,416.5065349,0.534757847,1690.812229,02CF,2CF-16
17-4820-49523,Boat L.,1,5421202,13404.28,5,114,188.1135712,188.1135712,186.0595059,0.576861467,1895.428784,02FA,2FA-11
17-4822-49331,Chesley L.,1,2088211.74,8656.67,2,4,228.9976501,228.9976501,223.4387294,2.035358877,1971.310059,02FA,2FA-09
17-4823-52210,Avery L.,1,1542465.74,15728.35,3,7,410.4751892,415.4845276,412.9744008,0.852650626,1656.87146,02DA,2DA-02
17-4840-51983,Little Venetian L.,1,723380.46,7167.49,2,3,422.479248,429.9449768,426.7685816,1.146081458,1692.992188,02CF,2CF-16
17-4857-47670,Fanshawe L.,1,2329316.67,13377.89,6,"1,063",268.1893311,268.1893311,262.0676513,2.99817083,2243.586914,02GD,2GD-05
17-4919-52573,Chrysler L.,1,859463.49,7973.56,2,2,381.694397,387.1643982,384.5609239,1.064301192,1605.955078,02JD,2JD-08
